data,city,total_confirm,total_suspected,medical_attention,attend_cancel,add_confirm,add_suspected,add_attention,attencion_cancel,confirm_p,suspected_p,attention_p,cancel_p
2020/1/21,湖北,375,1181,426,765,105,111,95,765,0.28,0.296,0.253333333,2.04
2020/1/22,湖北,444,2556,1698,969,69,1375,1272,969,0.155405405,3.096846847,2.864864865,2.182432432
2020/1/23,湖北,549,3653,2776,1087,105,1097,1078,1087,0.191256831,1.998178506,1.963570128,1.97996357
2020/1/24,湖北,729,5682,4711,1230,180,2029,1935,1230,0.24691358,2.783264746,2.654320988,1.687242798
2020/1/25,湖北,1052,7989,6904,325,323,2307,2193,325,0.307034221,2.192965779,2.08460076,0.308935361
2020/1/26,湖北,1423,10394,9103,583,371,2405,2199,583,0.260716796,1.690091356,1.545326774,0.409697822
2020/1/27,湖北,2714,16904,15559,914,1291,6510,6456,914,0.475681651,2.398673545,2.378776713,0.336772292
2020/1/28,湖北,3554,22095,20366,1604,840,5191,4807,1604,0.236353405,1.460607766,1.352560495,0.451322454
2020/1/29,湖北,4586,28780,26632,2364,1032,6685,6266,2364,0.225032708,1.45769734,1.366332316,0.515481901
2020/1/30,湖北,5806,35144,32340,4201,1220,6364,5708,4201,0.210127454,1.096107475,0.983120909,0.723561833
2020/1/31,湖北,7153,41075,36838,6509,1347,5931,4498,6509,0.188312596,0.829162589,0.628827066,0.909967846
2020/2/1,湖北,9074,48571,43121,8044,1921,7496,6283,8044,0.211703769,0.82609654,0.692417897,0.886488869
2020/2/2,湖北,11177,56088,48171,10055,2103,7517,5050,10055,0.188154245,0.672541827,0.451820703,0.899615281
2020/2/3,湖北,13522,68988,58544,12755,2345,12900,10373,12755,0.173421092,0.954000887,0.767120248,0.943277622
2020/2/4,湖北,16678,81039,66764,18457,3156,12051,8220,18457,0.189231323,0.722568653,0.492864852,1.106667466
2020/2/5,湖北,19665,90997,64127,18457,2987,9958,-2637,18457,0.151894228,0.506381897,-0.13409611,0.938571065
2020/1/23,浙江,43,1550,122,1410,16,1550,122,1410,0.372093023,36.04651163,2.837209302,32.79069767
2020/1/24,浙江,62,1854,143,1680,19,304,21,1680,0.306451613,4.903225806,0.338709677,27.09677419
2020/1/25,浙江,104,2403,143,2227,42,549,0,2227,0.403846154,5.278846154,0,21.41346154
2020/1/26,浙江,128,3724,155,3521,24,1321,12,3521,0.1875,10.3203125,0.09375,27.5078125
2020/1/27,浙江,173,4952,182,4715,45,1228,27,4715,0.260115607,7.098265896,0.156069364,27.25433526
2020/1/28,浙江,296,5885,316,5501,123,933,134,5501,0.415540541,3.152027027,0.452702703,18.58445946
2020/1/29,浙江,428,8011,336,7629,132,2126,20,7629,0.308411215,4.96728972,0.046728972,17.82476636
2020/1/30,浙江,537,9297,422,8801,109,1286,86,8801,0.202979516,2.394785847,0.160148976,16.38919926
2020/1/31,浙江,599,11110,513,10023,62,1813,91,10023,0.103505843,3.026711185,0.151919866,16.73288815
2020/2/1,浙江,661,11961,1008,10397,62,851,495,10397,0.093797277,1.287443268,0.748865356,15.72919818
2020/2/2,浙江,724,12673,1595,10566,63,712,587,10566,0.087016575,0.983425414,0.810773481,14.59392265
2020/2/3,浙江,829,14294,2557,11423,105,1621,962,11423,0.126658625,1.955367913,1.160434258,13.77925211
2020/2/4,浙江,895,16360,3955,11886,66,2066,1398,11886,0.073743017,2.308379888,1.562011173,13.28044693
2020/1/24,河南,32,698,682,15,23,698,682,15,0.71875,21.8125,21.3125,0.46875
2020/1/25,河南,83,993,945,45,51,295,263,45,0.614457831,3.554216867,3.168674699,0.542168675
2020/1/26,河南,128,1651,1543,90,45,658,598,90,0.3515625,5.140625,4.671875,0.703125
2020/1/27,河南,168,2225,1961,164,40,574,418,164,0.238095238,3.416666667,2.488095238,0.976190476
2020/1/28,河南,206,3158,2768,312,38,933,807,312,0.184466019,4.529126214,3.917475728,1.514563107
2020/1/29,河南,278,5288,4760,499,72,2130,1992,499,0.258992806,7.661870504,7.165467626,1.794964029
2020/1/30,河南,352,7512,6215,804,74,2224,1455,804,0.210227273,6.318181818,4.133522727,2.284090909
2020/1/31,河南,422,8908,6238,1964,70,1396,23,1964,0.165876777,3.308056872,0.05450237,4.654028436
2020/2/1,河南,493,11012,7162,1263,71,2104,924,1263,0.144016227,4.267748479,1.874239351,2.561866126
2020/2/2,河南,566,12797,8250,1424,73,1785,1088,1424,0.128975265,3.153710247,1.922261484,2.51590106
2020/2/3,河南,675,14533,9030,1827,109,1736,780,1827,0.161481481,2.571851852,1.155555556,2.706666667
2020/2/4,河南,764,16088,9695,2285,89,1555,665,2285,0.116492147,2.035340314,0.870418848,2.990837696
2020/1/21,重庆,5,81,13,0,4,81,13,0,0.8,16.2,2.6,0
2020/1/22,重庆,9,94,94,0,4,13,81,0,0.444444444,1.444444444,9,0
2020/1/23,重庆,27,224,224,0,18,130,130,0,0.666666667,4.814814815,4.814814815,0
2020/1/24,重庆,57,404,404,0,30,180,180,0,0.526315789,3.157894737,3.157894737,0
2020/1/25,重庆,75,813,793,20,18,409,389,20,0.24,5.453333333,5.186666667,0.266666667
2020/1/26,重庆,110,1106,1078,21,35,293,285,21,0.318181818,2.663636364,2.590909091,0.190909091
2020/1/27,重庆,132,1447,1445,2,22,341,367,2,0.166666667,2.583333333,2.78030303,0.015151515
2020/1/28,重庆,147,2462,2359,103,15,1015,914,103,0.102040816,6.904761905,6.217687075,0.700680272
2020/1/29,重庆,165,3619,3363,256,18,1157,1004,256,0.109090909,7.012121212,6.084848485,1.551515152
2020/1/30,重庆,206,4125,3418,707,41,506,55,707,0.199029126,2.45631068,0.266990291,3.432038835
2020/1/31,重庆,238,5868,4789,1979,32,1743,1371,1979,0.134453782,7.323529412,5.760504202,8.31512605
2020/2/1,重庆,262,7327,5746,1581,24,1459,957,1581,0.091603053,5.56870229,3.652671756,6.034351145
2020/2/2,重庆,300,8429,6471,1958,38,1102,725,1958,0.126666667,3.673333333,2.416666667,6.526666667
2020/2/3,重庆,337,9733,6745,2988,37,1304,274,2988,0.109792285,3.869436202,0.81305638,8.866468843
2020/2/4,重庆,366,9998,6727,3271,29,265,-18,3271,0.079234973,0.724043716,-0.049180328,8.93715847
2020/2/5,重庆,389,11700,7239,4461,23,1702,512,4461,0.059125964,4.375321337,1.316195373,11.46786632
